"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"RPS17",13.47,391,0.0145277550717099,2.18273256697831
"MIR98",13.42,392,0.014564910455525,2.18172518666484
"MLPH",13.41,393,0.0146020658393401,2.18072001554504
"PANO1",13.41,394,0.0146392212231552,2.17971704293939
"WBP1",13.41,395,0.0146763766069704,2.17871625824714
"CYC1",13.4,396,0.0147135319907855,2.17771765094549
"MIR6819",13.4,397,0.0147506873746006,2.17672121058888
"SLC25A1",13.4,398,0.0147878427584157,2.17572692680819
"TMED1",13.39,399,0.0148249981422308,2.17473478930998
"CYP2T1P",13.37,400,0.0148621535260459,2.17374478787579
"MIR6887",13.36,401,0.014899308909861,2.17275691236138
"EIF4G1",13.35,402,0.0149364642936762,2.171771152696
"FTSJ3",13.35,403,0.0149736196774913,2.1707874988817
"MIR199A1",13.33,404,0.0150107750613064,2.1698059409926
"DUS3L",13.3,405,0.0150479304451215,2.16882646917421
"FLJ13224",13.23,406,0.0150850858289366,2.16784907364273
"MIR4793",13.2,407,0.0151222412127517,2.16687374468437
"PPIF",13.2,408,0.0151593965965668,2.16590047265469
"C19ORF71",13.19,409,0.015196551980382,2.16492924797793
"SSNA1",13.18,410,0.0152337073641971,2.16396006114632
"RAB1B",13.15,411,0.0152708627480122,2.1629929027195
"SENP3-EIF4A1",13.13,412,0.0153080181318273,2.16202776332382
"RRP7BP",13.11,413,0.0153451735156424,2.16106463365173
"HSPB6",13.1,414,0.0153823288994575,2.16010350446116
"RNF44",13.1,415,0.0154194842832726,2.15914436657489
"SART1",13.08,416,0.0154566396670878,2.15818721087993
"CELSR3-AS1",13.07,417,0.0154937950509029,2.15723202832696
"CLIC3",13.05,418,0.015530950434718,2.15627880992968
"ZYX",13.05,419,0.0155681058185331,2.15532754676424
"MGAT4B",13.04,420,0.0156052612023482,2.15437822996867
"MIR203A",13.04,421,0.0156424165861633,2.15343085074231
"RAC3",13.03,422,0.0156795719699785,2.1524854003452
"IL17C",13.02,423,0.0157167273537936,2.15154187009757
"SNORA5A",13.01,424,0.0157538827376087,2.15060025137922
"TIGD5",13,425,0.0157910381214238,2.14966053562906
"ZNF580",12.99,426,0.0158281935052389,2.14872271434447
"RPL12",12.98,427,0.015865348889054,2.14778677908082
"LCAT",12.97,428,0.0159025042728691,2.14685272145095
"NUDT17",12.96,429,0.0159396596566843,2.14592053312461
"SEMA4C",12.96,430,0.0159768150404994,2.14499020582793
"UBE2I",12.95,431,0.0160139704243145,2.14406173134298
"CD68",12.93,432,0.0160511258081296,2.14313510150717
"MIR6752",12.92,433,0.0160882811919447,2.14221030821281
"SUSD2",12.92,434,0.0161254365757598,2.14128734340662
"MIR647",12.91,435,0.0161625919595749,2.14036619908919
"PDAP1",12.9,436,0.0161997473433901,2.13944686731453
"MIR219B",12.89,437,0.0162369027272052,2.13852934018959
"DUS1L",12.88,438,0.0162740581110203,2.13761360987379
"NAT14",12.88,439,0.0163112134948354,2.13669966857854
