"gene","dsb_density","dsb_rank","dsb_empirical_p","dsb_z"
"GABPB1-AS1",742.835,223,0.00864039676081987,2.38067835053222
"PFDN4",741.565,224,0.0086791429346352,2.37902951860956
"LOC105372672",739.09,225,0.00871788910845054,2.37738712916886
"SNORD93",734.875,226,0.00875663528226588,2.37575112766467
"SNORD67",733.005,227,0.00879538145608121,2.3741214602538
"TNPO2",729.645,228,0.00883412762989655,2.37249807378321
"XBP1",728.175,229,0.00887287380371188,2.37088091577814
"SRSF2",723.465,230,0.00891161997752722,2.36926993443059
"IER5L",719.6,231,0.00895036615134255,2.3676650785879
"MIR4700",719.485,232,0.00898911232515789,2.36606629774172
"SNORD140",713.88,233,0.00902785849897323,2.36447354201708
"SCARNA17",711.49,234,0.00906660467278856,2.36288676216186
"SNORD100",708.295,235,0.0091053508466039,2.36130590953624
"NACA2",708.12,236,0.00914409702041923,2.35973093610263
"MIR3191",700.8,237,0.00918284319423457,2.35816179441563
"SNORD115-27",700.8,238,0.0092215893680499,2.35659843761226
"MIR4419A",699.21,239,0.00926033554186524,2.35504081940241
"SNORD84",697.665,240,0.00929908171568058,2.35348889405942
"MIR208B",691.815,241,0.00933782788949591,2.35194261641097
"RNU5B-1",690.84,242,0.00937657406331125,2.35040194182998
"MIR27A",690.36,243,0.00941532023712658,2.34886682622591
"TUBD1",689.83,244,0.00945406641094192,2.34733722603604
"MIR92A1",683.055,245,0.00949281258475725,2.34581309821706
"BCYRN1",682.65,246,0.00953155875857259,2.34429440023672
"MIRLET7E",681.73,247,0.00957030493238793,2.34278109006577
"MIR4687",680.44,248,0.00960905110620326,2.34127312616997
"MIRLET7A1",680.44,249,0.0096477972800186,2.33977046750226
"SNAR-C4",678.48,250,0.00968654345383393,2.33827307349512
"SNORD12C",674.52,251,0.00972528962764927,2.33678090405309
"SNORD14E",673.315,252,0.0097640358014646,2.33529391954539
"MIR5739",666.19,253,0.00980278197527994,2.33381208079871
"MIR4662B",665.105,254,0.00984152814909528,2.33233534909015
"MIR6785",665.105,255,0.00988027432291061,2.33086368614026
"ANP32B",659.135,256,0.00991902049672595,2.32939705410628
"MIR4737",658.065,257,0.00995776667054128,2.32793541557541
"RNVU1-1",657.575,258,0.00999651284435662,2.32647873355832
"CD63",649.295,259,0.010035259018172,2.32502697148271
"MIR4309",649.27,260,0.0100740051919873,2.323580093187
"HES1",642.61,261,0.0101127513658026,2.32213806291418
"SNORA109",636.87,262,0.010151497539618,2.3207008453057
"MIR8078",634.84,263,0.0101902437134333,2.31926840539559
"SNORD14D",626.315,264,0.0102289898872486,2.31784070860456
"SNORD103A",612.795,265,0.010267736061064,2.31641772073429
"SNORD92",612.395,266,0.0103064822348793,2.31499940796184
"SNHG19",611.825,267,0.0103452284086946,2.31358573683408
"TPD52L2",609.475,268,0.01038397458251,2.31217667426231
"HIST2H2BC",608.555,269,0.0104227207563253,2.31077218751691
"BRIP1",606.14,270,0.0104614669301406,2.30937224422217
"MIR3651",605.665,271,0.010500213103956,2.30797681235108
"GREB1",600.295,272,0.0105389592777713,2.30658586022041
"SNORA5A",599.57,273,0.0105777054515867,2.30519935648566
"SNORA49",599.08,274,0.010616451625402,2.30381727013626
"SNORA71B",595.03,275,0.0106551977992173,2.30243957049083
"ARL6IP4",586.78,276,0.0106939439730327,2.30106622719242
"MIR4438",586.335,277,0.010732690146848,2.29969721020398
"TRIM37",585.56,278,0.0107714363206633,2.29833248980383
"SCARNA5",584.365,279,0.0108101824944787,2.29697203658119
"SNHG12",583.26,280,0.010848928668294,2.29561582143187
"MIR3916",580.165,281,0.0108876748421093,2.29426381555396
"RPS6KB1",573.68,282,0.0109264210159247,2.29291599044362
"STC2",572.665,283,0.01096516718974,2.29157231789095
"EGR1",564.19,284,0.0110039133635553,2.29023276997595
"COX7A1",563.8,285,0.0110426595373707,2.28889731906449
