"gene","top1_density","top1_rank","top1_empirical_p","top1_z"
"MIR4804",2.08,281,0.0104406628520473,2.31012335632452
"TMSB4X",2.08,282,0.0104778182358624,2.30878280846434
"CTGF",2.06,283,0.0105149736196775,2.3074463968485
"MIR519C",2.06,284,0.0105521290034926,2.30611409365864
"RPL13A",2.06,285,0.0105892843873077,2.30478587136129
"WEE1",2.06,286,0.0106264397711228,2.30346170270401
"ZFP36L1",2.06,287,0.010663595154938,2.30214156071146
"CKS2",2.05,288,0.0107007505387531,2.3008254186817
"LOC100506548",2.05,289,0.0107379059225682,2.29951325018244
"MIR4481",2.05,290,0.0107750613063833,2.29820502904739
"MIR548V",2.05,291,0.0108122166901984,2.29690072937271
"RPL36A",2.05,292,0.0108493720740135,2.29560032551342
"SNORA103",2.05,293,0.0108865274578286,2.29430379207998
"SNORA36A",2.05,294,0.0109236828416438,2.29301110393488
"C12ORF57",2.04,295,0.0109608382254589,2.29172223618926
"MIR1281",2.04,296,0.010997993609274,2.29043716419963
"MIR4258",2.04,297,0.0110351489930891,2.28915586356463
"MIR4707",2.04,298,0.0110723043769042,2.28787831012184
"MIR4712",2.04,299,0.0111094597607193,2.28660447994463
"MIR614",2.04,300,0.0111466151445344,2.2853343493391
"PTP4A1",2.04,301,0.0111837705283496,2.28406789484102
"RNU5F-1",2.04,302,0.0112209259121647,2.28280509321288
"RNVU1-8",2.04,303,0.0112580812959798,2.28154592144092
"SNHG19",2.04,304,0.0112952366797949,2.28029035673225
"SNORD129",2.04,305,0.01133239206361,2.27903837651203
"EIF1",2.03,306,0.0113695474474251,2.27778995842064
"HIST1H4C",2.03,307,0.0114067028312402,2.27654508031097
"MIR106B",2.03,308,0.0114438582150554,2.27530372024567
"MIR378D2",2.03,309,0.0114810135988705,2.2740658564945
"MIR4256",2.03,310,0.0115181689826856,2.27283146753176
"MIR4802",2.03,311,0.0115553243665007,2.27160053203361
"PCBP1",2.03,312,0.0115924797503158,2.27037302887563
"SNORA10",2.03,313,0.0116296351341309,2.26914893713025
"SNORA63",2.03,314,0.011666790517946,2.26792823606434
"MIR141",2.01,315,0.0117039459017612,2.26671090513674
"MIR324",2.01,316,0.0117411012855763,2.26549692399593
"UGDH",2.01,317,0.0117782566693914,2.26428627247765
"KRT19",2,318,0.0118154120532065,2.26307893060257
"MIR193B",2,319,0.0118525674370216,2.26187487857408
"MIR3168",2,320,0.0118897228208367,2.26067409677599
"MIR3674",2,321,0.0119268782046519,2.25947656577036
"MIR4419A",2,322,0.011964033588467,2.2582822662953
"MIR4462",2,323,0.0120011889722821,2.25709117926286
"MIR585",2,324,0.0120383443560972,2.25590328575691
"MRPL53",2,325,0.0120754997399123,2.25471856703106
"SNORA64",2,326,0.0121126551237274,2.25353700450663
"SNORA80E",2,327,0.0121498105075425,2.25235857977065
"SNORD111B",2,328,0.0121869658913577,2.25118327457384
"SNORD115-11",2,329,0.0122241212751728,2.25001107082869
"SOX4",2,330,0.0122612766589879,2.24884195060754
"HIST1H4D",1.99,331,0.012298432042803,2.24767589614064
"MIR1204",1.99,332,0.0123355874266181,2.24651288981436
"PTMA",1.99,333,0.0123727428104332,2.24535291416929
"SLC38A2",1.99,334,0.0124098981942483,2.24419595189843
"BHLHE40",1.98,335,0.0124470535780635,2.24304198584547
"C7ORF66",1.98,336,0.0124842089618786,2.24189099900294
"MIR200A",1.98,337,0.0125213643456937,2.24074297451056
"MIR4501",1.98,338,0.0125585197295088,2.23959789565347
"MIR608",1.98,339,0.0125956751133239,2.23845574586059
"NRADDP",1.98,340,0.012632830497139,2.23731650870292
"SNORA27",1.98,341,0.0126699858809541,2.23618016789197
"SNORD12",1.98,342,0.0127071412647693,2.23504670727807
"THBS1",1.98,343,0.0127442966485844,2.23391611084886
"MIR3611",1.97,344,0.0127814520323995,2.23278836272765
"MIR4733",1.97,345,0.0128186074162146,2.23166344717193
"MIR520G",1.97,346,0.0128557628000297,2.23054134857186
"MIR548AP",1.97,347,0.0128929181838448,2.22942205144871
"MIR6879",1.97,348,0.01293007356766,2.22830554045342
"MIR8075",1.97,349,0.0129672289514751,2.22719180036517
"SNORD115-6",1.97,350,0.0130043843352902,2.22608081608989
"MIR449C",1.96,351,0.0130415397191053,2.22497257265888
"MIR6508",1.96,352,0.0130786951029204,2.22386705522738
