"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"BOLA2-SMG1P6",1.88,261,0.00969755517574497,2.33784846697035
"HEATR6",1.88,262,0.00973471055956008,2.3364188758766
"MIR4265",1.88,263,0.0097718659433752,2.3349940439046
"MIR4270",1.88,264,0.00980902132719031,2.33357393659966
"MIR5092",1.88,265,0.00984617671100542,2.33215851988673
"PPP1CA",1.88,266,0.00988333209482054,2.33074776006487
"SCARNA18B",1.88,267,0.00992048747863565,2.32934162380167
"SLX1A-SULT1A3",1.88,268,0.00995764286245077,2.32794007812788
"USP32",1.88,269,0.00999479824626588,2.32654309043216
"COPS6",1.87,270,0.010031953630081,2.32515062845579
"LINC00994",1.87,271,0.0100691090138961,2.32376266028761
"MIR1324",1.87,272,0.0101062643977112,2.322379154359
"NRAS",1.87,273,0.0101434197815263,2.32100007943895
"OR4F16",1.87,274,0.0101805751653415,2.31962540462923
"PSMD6",1.87,275,0.0102177305491566,2.31825509935961
"RNA5S1",1.87,276,0.0102548859329717,2.31688913338325
"SNORD114-3",1.87,277,0.0102920413167868,2.31552747677205
"SNORD88C",1.87,278,0.0103291967006019,2.31417009991221
"ADAMTS9",1.86,279,0.010366352084417,2.31281697349977
"DUSP1",1.86,280,0.0104035074682321,2.31146806853628
"GAGE12C",1.86,281,0.0104406628520473,2.31012335632452
"GAGE12D",1.86,282,0.0104778182358624,2.30878280846434
"MIR152",1.86,283,0.0105149736196775,2.3074463968485
"MIR3118-2",1.86,284,0.0105521290034926,2.30611409365864
"MIR4467",1.86,285,0.0105892843873077,2.30478587136129
"MIR589",1.86,286,0.0106264397711228,2.30346170270401
"MIR630",1.86,287,0.010663595154938,2.30214156071146
"NBPF20",1.86,288,0.0107007505387531,2.3008254186817
"NPIPB4",1.86,289,0.0107379059225682,2.29951325018244
"PPIAL4D",1.86,290,0.0107750613063833,2.29820502904739
"USP17L13",1.86,291,0.0108122166901984,2.29690072937271
"BCAS1",1.85,292,0.0108493720740135,2.29560032551342
"DSCAM-AS1",1.85,293,0.0108865274578286,2.29430379207998
"FAM138A",1.85,294,0.0109236828416438,2.29301110393488
"MIR1306",1.85,295,0.0109608382254589,2.29172223618926
"MIR5708",1.85,296,0.010997993609274,2.29043716419963
"RAD51C",1.85,297,0.0110351489930891,2.28915586356463
"SNORA11",1.85,298,0.0110723043769042,2.28787831012184
"SNORA80B",1.85,299,0.0111094597607193,2.28660447994463
"GAGE12B",1.84,300,0.0111466151445344,2.2853343493391
"LOC105371328",1.84,301,0.0111837705283496,2.28406789484102
"MIR3164",1.84,302,0.0112209259121647,2.28280509321288
"MIR3185",1.84,303,0.0112580812959798,2.28154592144092
"MIR425",1.84,304,0.0112952366797949,2.28029035673225
"MIR4268",1.84,305,0.01133239206361,2.27903837651203
"MIR4316",1.84,306,0.0113695474474251,2.27778995842064
"MIR4457",1.84,307,0.0114067028312402,2.27654508031097
"MIR4512",1.84,308,0.0114438582150554,2.27530372024567
"MIR4520-1",1.84,309,0.0114810135988705,2.2740658564945
"MIR6731",1.84,310,0.0115181689826856,2.27283146753176
"MIR6764",1.84,311,0.0115553243665007,2.27160053203361
"MIR7702",1.84,312,0.0115924797503158,2.27037302887563
"SIKE1",1.84,313,0.0116296351341309,2.26914893713025
"SNORA4",1.84,314,0.011666790517946,2.26792823606434
