"gene","expression"
"CACNG4",99.1733333333333
"SLC3A2",99.0933333333333
"MTPN",98.8683333333333
"LRPPRC",98.6
"SNHG16",98.505
"EIF3I",98.2633333333333
"HIF1A",97.95
"GDI2",97.8566666666667
"KDELR1",97.6633333333333
"HNRNPH2",97.615
"RHOA",97.51
"CHMP3",97.3433333333333
"DHCR7",97.1333333333333
"DNMT1",96.9416666666667
"GET3",96.9
"OST4",96.7166666666667
"RAF1",96.6466666666667
"ARPC3",96.595
"PSMD14",96.59
"PCBP1",96.3333333333333
"ARPC5L",96.295
"IQGAP1",96.23
"HACD3",96.015
"TXNDC17",95.6383333333334
"UQCRC1",95.6266666666667
"ADIPOR1",95.325
"DECR1",95.225
"RAP1B",95.2033333333333
"ABRACL",95.1466666666667
"NOP56",94.7366666666667
"EIF3CL",94.67
"CCNL1",94.6116666666667
"GPI",94.48
"COPS6",94.3833333333333
"TOR1A",94.2316666666667
"DAP3",94.1583333333333
"DPY30",94.0716666666667
"TMEM258",93.9133333333333
"RBM3",93.905
"EWSR1",93.8933333333333
"SUMO2",93.8183333333333
"GTF3A",93.685
"PFDN2",93.4283333333333
"DSTN",93.3083333333333
"UBA1",93.17
"VDAC1",93.155
"CTNNB1",93.1533333333333
"CHMP4A",92.9116666666667
"ILF3",92.6866666666667
"GLO1",92.5716666666667
"COPS9",92.4783333333333
"BRIP1",92.4733333333333
"GSN",92.4216666666667
"ACIN1",92.3466666666666
"GID8",92.3366666666667
"CD59",92.27
"HDAC1",92.01
"DNAJB1",91.9316666666667
"GPX4",91.8683333333333
"SSRP1",91.47
"ARRDC1",91.455
"NCKAP1",91.3966666666667
"SNRPD3",91.3316666666667
"PSMC6",91.25
"MYH9",90.9916666666667
"UBE2I",90.9316666666667
"CFDP1",90.865
"TCP1",90.8366666666667
"TUFM",90.8316666666667
"DHX40",90.8083333333333
"DYNC1H1",90.74
"MDH2",90.6716666666667
"PPP1CB",90.665
"EEF1A1P5",90.6266666666667
"DDX3X",90.565
"FKBP1A",90.5183333333333
"SNHG8",90.4683333333333
"GRN",90.2716666666667
"GMPS",90.1583333333333
"DERL1",90.15
"DPM1",90.065
"IGFBP4",90.0566666666667
"SEPTIN7",90.0433333333334
"PNP",89.9833333333333
"RPS28",89.95
"NPIPA9",89.9366666666667
"PTP4A2",89.4433333333333
"CCNL2",89.3516666666667
"RAB1A",89.0883333333333
"DNAJB6",88.9683333333333
"ST13",88.8983333333333
"NUTF2",88.75
"AGR3",88.7233333333333
"RTF2",88.5
"RER1",88.45
"HSD17B4",88.445
"SNX5",88.2116666666667
"RAB25",88.145
"PSMD10",88.1033333333333
"PDHA1",88.0133333333333
"ATP1B3",88.0033333333333
"SCAMP2",88.0016666666667
"UBA2",87.995
"MTHFD1",87.9316666666667
"RTN4",87.9
"RBM17",87.7766666666667
"CSRP1",87.62
"HPRT1",87.615
"NASP",87.5483333333333
"DYNC2I2",87.5033333333333
"TMEM14C",87.4383333333333
"PGRMC1",87.3666666666667
"AHCY",87.205
"CAV1",87.17
"PRR13",87.1583333333333
"ATP5F1E",87.1483333333333
"CDC42SE1",87.1283333333333
"PSMD12",86.9883333333333
"CCNI",86.8916666666667
"CENPN",86.6916666666667
"LARP1",86.5816666666667
"CDV3",86.5283333333334
"GSPT1",86.4466666666667
"BZW1",86.2583333333333
"RPL7P1",86.2416666666667
"ANAPC11",86.215
"COPG1",86.135
"SMIM14",86.0466666666667
"EAPP",86.0316666666667
"ZMAT2",85.9083333333333
"EIF3G",85.8633333333333
"DDX39A",85.78
"CLDN4",85.74
"CTSL",85.7333333333333
"STX16",85.7
"SDHC",85.6733333333333
"EEF1A2",85.565
"SDHB",85.5366666666667
"PDCD5",85.5333333333333
"ZC3H15",85.53
"ADRM1",85.3916666666667
"UFC1",85.2383333333333
"MARS1",85.2016666666667
"MAPRE1",84.9916666666667
"FDFT1",84.9883333333333
"RUVBL1",84.79
"MAZ",84.7583333333333
"VPS29",84.745
"NOL11",84.6833333333333
"ACP1",84.645
"TMEM183A",84.6066666666667
"MTDH",84.4916666666667
"TAF7",84.4333333333333
"GFRA1",84.3166666666667
"MRPL9",84.3133333333333
"CHCHD3",84.285
"EIF3D",84.2783333333333
"APH1A",84.21
"SEPHS2",84.0166666666667
"ACTN1",83.9383333333333
"RAB13",83.86
"GNG10",83.815
"NEAT1",83.7416666666667
"SUN1",83.715
"AKT1",83.71
"TSPAN15",83.6816666666667
"DCTN5",83.6166666666667
"DLD",83.43
"ARMT1",83.3666666666667
"NDUFA4",83.3316666666667
"COX5A",83.3283333333333
"PWP1",83.23
"JAK1",83.145
"GLRX3",83.075
"CDC26",83.0166666666667
"BUD23",82.8566666666667
"TRIM33",82.5866666666667
"CAPZB",82.5433333333333
"SPCS2",82.235
"DANCR",82.1033333333333
"PRMT6",81.9866666666667
"ATP5MC2",81.98
"RACGAP1",81.8833333333333
"TM7SF3",81.8816666666667
"FLII",81.8816666666667
"OGT",81.8
"RTCB",81.7266666666667
"STK25",81.6
"SRSF10",81.4
"PNRC2",81.215
"STOML2",81.2066666666667
"NDUFA8",81.02
"PPIH",80.9483333333333
"PHPT1",80.865
"CHMP2A",80.7866666666667
"ZNF207",80.7616666666667
"UBE2E1",80.695
"ANAPC15",80.66
"LAMP2",80.645
"RRM2",80.6316666666667
"LRRC59",80.6
"ATAD2",80.5866666666667
"PRPF6",80.51
"PKIB",80.3933333333333
"MATR3",79.89
"PTBP1",79.8066666666667
"MMADHC",79.57
"GREB1",79.4733333333333
"TAGLN2",79.4383333333333
"HIPK1",79.4166666666667
