"gene","top1_density"
"ALG9",1.07
"ALK",1.07
"ALKBH1",1.18
"ALKBH2",1.16
"ALKBH3",1.08
"ALKBH3-AS1",1.17
"ALKBH4",1
"ALKBH5",1.13
"ALKBH6",1.14
"ALKBH7",0.88
"ALKBH8",1.1
"ALLC",1.1
"ALMS1",1.09
"ALMS1-IT1",1.22
"ALMS1P1",1
"ALOX12",1.06
"ALOX12-AS1",1.07
"ALOX12B",1
"ALOX12P2",1.08
"ALOX15",1.07
"ALOX15B",1.15
"ALOX15P1",1.05
"ALOX5",1.07
"ALOX5AP",1.08
"ALOXE3",1.09
"ALPI",1.01
"ALPK1",1.09
"ALPK2",1.04
"ALPK3",1.1
"ALPL",1.1
"ALPP",0.8
"ALPPL2",0.9
"ALS2",1.11
"ALS2CL",1
"ALS2CR11",1.06
"ALS2CR12",1.08
"ALX1",1.09
"ALX3",1.15
"ALX4",1.07
"ALYREF",1.12
"AMACR",1.12
"AMBN",1.16
"AMBP",1.14
"AMBRA1",1.16
"AMD1",1.19
"AMDHD1",1.14
"AMDHD2",1.03
"AMELX",1.06
"AMER1",1.06
"AMER2",1.17
"AMER3",1.13
"AMFR",1.15
"AMH",1.25
"AMHR2",1.21
"AMIGO1",1.04
"AMIGO2",1.17
"AMIGO3",1.34
"AMMECR1",1.15
"AMMECR1L",1.12
"AMN",1.1
"AMN1",1.08
"AMOT",1.06
"AMOTL1",1.08
"AMOTL2",1.33
"AMPD1",1.09
"AMPD2",1.07
"AMPD3",1.08
"AMPH",1.08
"AMT",1.15
"AMTN",1.1
"AMY1A",1.01
"AMY1B",1.01
"AMY1C",1.01
"AMY2A",1.01
"AMY2B",1.15
"AMZ1",1.18
"AMZ2",1.15
"AMZ2P1",1.05
"ANAPC1",1.16
"ANAPC10",1.06
"ANAPC11",1.33
"ANAPC13",1.09
"ANAPC15",1.19
"ANAPC16",1.24
"ANAPC1P1",1.09
"ANAPC2",1.16
"ANAPC4",1.05
"ANAPC5",1.19
"ANAPC7",1.22
