"gene","top1cc_density"
"ADSSL1",1.33
"ADTRP",1.16
"AEBP1",1.37
"AEBP2",1.14
"AEN",1.33
"AES",1.25
"AFAP1",1.17
"AFAP1-AS1",1.19
"AFAP1L1",1.2
"AFAP1L2",1.2
"AFDN",1.07
"AFDN-AS1",1.14
"AFF1",1.19
"AFF2",1.13
"AFF3",1.18
"AFF4",1.28
"AFG3L1P",1.36
"AFG3L2",1.23
"AFM",1.15
"AFMID",1.18
"AFP",1.14
"AFTPH",1.18
"AGA",1.2
"AGAP1",1.26
"AGAP1-IT1",1.39
"AGAP11",1.23
"AGAP12P",1.45
"AGAP2",1.26
"AGAP2-AS1",1.32
"AGAP3",1.24
"AGAP4",1.51
"AGAP5",1.38
"AGAP6",1.37
"AGAP7P",1.5
"AGAP9",1.42
"AGBL1",1.19
"AGBL1-AS1",1.22
"AGBL2",1.24
"AGBL3",1.17
"AGBL4",1.14
"AGBL4-IT1",1.12
"AGBL5",1.29
"AGBL5-AS1",1.39
"AGER",1.16
"AGFG1",1.3
"AGFG2",1.21
"AGGF1",1.14
"AGK",1.15
"AGL",1.11
"AGMAT",1.14
"AGMO",1.12
"AGO1",1.19
"AGO2",1.28
"AGO3",1.16
"AGO4",1.14
"AGPAT1",1.11
"AGPAT2",1.22
"AGPAT3",1.31
"AGPAT4",1.11
"AGPAT4-IT1",1.06
"AGPAT5",1.11
"AGPS",1.14
"AGR2",1.22
"AGR3",1.19
"AGRN",1.19
"AGRP",1.07
"AGT",1.3
"AGTPBP1",1.18
"AGTR1",1.21
"AGTR2",1.18
"AGTRAP",1.16
"AGXT",1.31
"AGXT2",1.19
"AHCTF1",1.16
"AHCTF1P1",1.22
"AHCY",1.33
"AHCYL1",1.3
"AHCYL2",1.17
"AHDC1",1.21
"AHI1",1.17
"AHNAK",1.28
"AHNAK2",1.28
"AHR",1.14
"AHRR",1.21
"AHSA1",1.24
"AHSA2",1.26
"AHSG",1.18
"AHSP",1.39
"AICDA",1.12
"AIDA",1.18
"AIF1",1.17
"AIF1L",1.19
"AIFM1",1.17
"AIFM2",1.24
"AIFM3",1.12
"AIG1",1.18
"AIM1",1.19
"AIM1L",1.21
"AIM2",1.12
"AIMP1",1.16
"AIMP2",1.37
"AIP",1.32
"AIPL1",1.14
"AIRE",1.33
"AIRN",1.2
"AJAP1",1.13
"AJUBA",1.29
"AK1",1.24
"AK2",1.18
"AK3",1.15
"AK4",1.23
"AK5",1.14
"AK6",1.15
"AK7",1.26
"AK8",1.14
"AK9",1.17
"AKAIN1",1.12
"AKAP1",1.27
"AKAP10",1.18
"AKAP11",1.15
"AKAP12",1.19
"AKAP13",1.24
"AKAP14",1.22
"AKAP17A",1.08
"AKAP2",1.24
"AKAP3",1.12
"AKAP4",1.1
"AKAP5",1.31
"AKAP6",1.18
"AKAP7",1.17
"AKAP8",1.27
"AKAP8L",1.25
"AKAP9",1.2
"AKIP1",1.14
"AKIRIN1",1.23
"AKIRIN2",1.24
"AKNA",1.27
"AKNAD1",1.22
"AKR1A1",1.24
"AKR1B1",1.23
"AKR1B10",1.13
"AKR1B15",1.17
"AKR1C1",1.18
"AKR1C2",1.17
"AKR1C3",1.17
"AKR1C4",1.23
"AKR1C6P",1.18
"AKR1C8P",1.24
"AKR1D1",1.18
"AKR1E2",1.23
"AKR7A2",1.19
"AKR7A2P1",1.12
"AKR7A3",1.33
"AKR7L",1.32
"AKT1",1.32
"AKT1S1",1.25
"AKT2",1.21
"AKT3",1.13
"AKTIP",1.21
"ALAD",1.28
"ALAS1",1.17
"ALAS2",1.08
"ALB",1.09
"ALCAM",1.16
"ALDH16A1",1.19
"ALDH18A1",1.19
"ALDH1A1",1.09
"ALDH1A2",1.12
"ALDH1A3",1.3
"ALDH1B1",1.18
"ALDH1L1",1.22
"ALDH1L1-AS1",1.39
"ALDH1L1-AS2",1.22
"ALDH1L2",1.16
"ALDH2",1.24
"ALDH3A1",1.1
"ALDH3A2",1.13
"ALDH3B1",1.34
"ALDH3B2",1.4
"ALDH4A1",1.14
"ALDH5A1",1.21
"ALDH6A1",1.24
"ALDH7A1",1.2
"ALDH8A1",1.16
"ALDH9A1",1.16
"ALDOA",1.36
"ALDOB",1.21
"ALDOC",1.22
"ALG1",1.16
"ALG10",1.21
"ALG10B",1.1
"ALG11",1.08
"ALG12",1.26
"ALG13",1.18
"ALG14",1.11
"ALG1L",1.31
"ALG1L2",1.23
"ALG1L9P",1.25
"ALG2",1.27
"ALG3",1.32
"ALG5",1.14
"ALG6",1.12
"ALG8",1.26
"ALG9",1.11
"ALK",1.2
"ALKBH1",1.23
"ALKBH2",1.39
"ALKBH3",1.09
"ALKBH3-AS1",1.08
"ALKBH4",1.29
"ALKBH5",1.24
"ALKBH6",1.19
"ALKBH7",1.24
"ALKBH8",1.1
"ALLC",1.21
"ALMS1",1.17
"ALMS1-IT1",1.13
"ALMS1P1",1.16
"ALOX12",1.09
"ALOX12-AS1",1.1
"ALOX12B",1.11
"ALOX12P2",1.16
"ALOX15",1.16
"ALOX15B",1.22
"ALOX15P1",1.14
"ALOX5",1.25
"ALOX5AP",1.2
"ALOXE3",1.13
"ALPI",1.3
"ALPK1",1.16
"ALPK2",1.05
"ALPK3",1.3
"ALPL",1.24
"ALPP",1.22
"ALPPL2",1.35
"ALS2",1.16
"ALS2CL",1.2
"ALS2CR11",1.16
"ALS2CR12",1.17
"ALX1",1.13
"ALX3",1.34
"ALX4",1.13
"ALYREF",1.13
"AMACR",1.18
"AMBN",1.12
"AMBP",1.28
"AMBRA1",1.28
"AMD1",1.22
"AMDHD1",1.19
"AMDHD2",1.21
"AMELX",1.09
"AMER1",1.14
"AMER2",1.12
"AMER3",1.19
"AMFR",1.15
"AMH",1.32
"AMHR2",1.19
"AMIGO1",1.19
"AMIGO2",1.21
"AMIGO3",1.23
"AMMECR1",1.16
"AMMECR1L",1.21
"AMN",1.31
"AMN1",1.18
"AMOT",1.15
"AMOTL1",1.14
"AMOTL2",1.41
"AMPD1",1.54
"AMPD2",1.43
"AMPD3",1.13
"AMPH",1.18
"AMT",1.22
"AMTN",1.1
"AMY1A",1.16
"AMY1B",1.15
"AMY1C",1.16
"AMY2A",1.07
"AMY2B",1.07
"AMZ1",1.33
"AMZ2",1.14
"AMZ2P1",1.2
"ANAPC1",1.23
"ANAPC10",1.15
"ANAPC11",1.26
"ANAPC13",1.27
"ANAPC15",1.36
"ANAPC16",1.19
"ANAPC1P1",1.15
"ANAPC2",1.16
"ANAPC4",1.1
"ANAPC5",1.22
"ANAPC7",1.19
"ANG",1.25
"ANGEL1",1.26
"ANGEL2",1.12
"ANGPT1",1.2
"ANGPT2",1.11
"ANGPT4",1.15
"ANGPTL1",1.1
