"cell_line","cell_type","gene","break_density","ratio_non_se"
"HEK293","normal","PPP1R36",15.4663333333333,1.00263608214965
"HEK293","normal","GPHN",29.234,1.89515269028833
"HEK293","normal","ZFP36L1",77.1556666666667,5.00177085771099
"HEK293","normal","SUSD6",36.5266666666667,2.3679144352671
"HEK293","normal","SRSF5",52.1703333333333,3.38204650646185
"HEK293","normal","SMOC1",25.427,1.64835627885207
"HEK293","normal","SNORD56B",0,0
"HEK293","normal","PNMA1",0,0
"HEK293","normal","MIR4505",0,0
"HEK293","normal","ANGEL1",24.28,1.57399970309231
"HEK293","normal","LRRC74A",10.7193333333333,0.694902285173567
"HEK293","normal","IRF2BPL",33.461,2.16917644419983
"HEK293","normal","CIPC",40.958,2.65518450738282
"HEK293","normal","ZDHHC22",36.4756666666667,2.36460825796654
"HEK293","normal","FLRT2",21.3296666666667,1.38273842670475
"HEK293","normal","BCL11B",53.543,3.47103237655155
"HEK293","normal","YY1",39.9956666666667,2.59279931871139
"HEK293","normal","MIR6764",0,0
"HEK293","normal","CKB",44.016,2.85342549140491
"HEK293","normal","TRMT61A",0,0
"HEK293","normal","BAG5",0,0
"HEK293","normal","MEIS2",31.4086666666667,2.03612981910456
"HEK293","normal","EIF2AK4",18.7353333333333,1.21455556441525
"HEK293","normal","SRP14",74.7896666666667,4.84839016176715
"HEK293","normal","BMF",24.9333333333333,1.61635334694268
"HEK293","normal","BUB1B",31.8826666666667,2.06685781989804
"HEK293","normal","PAK6",8.99033333333333,0.582816391983838
"HEK293","normal","ANKRD63",29.7033333333333,1.92557816505431
"HEK293","normal","INAFM2",46.0973333333333,2.98835209967109
"HEK293","normal","PRTG",30.1986666666667,1.95768914197352
"HEK293","normal","FOXB1",14.8503333333333,0.962702646519297
"HEK293","normal","SMAD6",47.1703333333333,3.05791147699473
"HEK293","normal","SMAD3",52.518,3.40458469551079
"HEK293","normal","RNU6-1",1302.78766666667,84.4558237448789
"HEK293","normal","CLN6",42.3593333333333,2.74602875164147
"HEK293","normal","FEM1B",134.738,8.73466112006804
"HEK293","normal","ANP32A",50.1833333333333,3.25323524575162
"HEK293","normal","MIR4312",0,0
"HEK293","normal","TLE3",52.9086666666667,3.42991044581316
"HEK293","normal","MIR629",0,0
"HEK293","normal","SALRNA3",0,0
"HEK293","normal","UACA",35.977,2.33228119102768
"HEK293","normal","THSD4",44.086,2.85796338181745
"HEK293","normal","THSD4-AS1",48.7856666666667,3.16262870051458
"HEK293","normal","PKM",71.271,4.62028553703016
"HEK293","normal","PARP6",58.0513333333333,3.76329412812107
"HEK293","normal","ISLR",143.314666666667,9.29066074061397
"HEK293","normal","STRA6",8.49933333333333,0.550986332090167
"HEK293","normal","CCDC33",24.876,1.61263659860479
"HEK293","normal","CLK3",44.9676666666667,2.91511919201349
"HEK293","normal","CYP1A2",35.9136666666667,2.32817548065443
"HEK293","normal","CSK",25.569,1.65756171368894
"HEK293","normal","MIR4513",0,0
"HEK293","normal","LMAN1L",10.6883333333333,0.692892647990871
"HEK293","normal","CPLX3",37.121,2.40644328576976
"HEK293","normal","ULK3",72.255,4.68407531082929
"HEK293","normal","MIR6882",0,0
"HEK293","normal","ETFA",21.6536666666667,1.40374237661422
"HEK293","normal","ISL2",155.905666666667,10.1068975718181
"HEK293","normal","MEX3B",164.858,10.6872505375779
"HEK293","normal","LINC01583",45.8246666666667,2.97067593606415
"HEK293","normal","RPS17",244.368666666667,15.8416889941679
"HEK293","normal","FURIN",36.0526666666667,2.33718643447362
"HEK293","normal","FES",50.516,3.27480102971216
"HEK293","normal","MAN2A2",26.5116666666667,1.71867197124447
"HEK293","normal","HDDC3",126.807,8.2205181363273
"HEK293","normal","UNC45A",38.6483333333333,2.50545573277098
"HEK293","normal","ASB9P1",0,0
"HEK293","normal","CHD2",51.5163333333333,3.33964964460755
"HEK293","normal","RGMA",37.1796666666667,2.41024647011551
"HEK293","normal","NR2F2-AS1",38.5066666666667,2.49627190693608
"HEK293","normal","NR2F2",146.029,9.46662284361068
"HEK293","normal","MIR1469",0,0
"HEK293","normal","IRAIN",0,0
"HEK293","normal","IGF1R",56.8323333333333,3.68427000793699
"HEK293","normal","WFIKKN1",39.3806666666667,2.55293071008693
"HEK293","normal","WDR90",35.7246666666667,2.31592317654058
"HEK293","normal","RHOT2",74.618,4.83726152575545
"HEK293","normal","RHBDL1",147.912666666667,9.58873531371193
"HEK293","normal","STUB1",72.5873333333333,4.70561948578787
"HEK293","normal","JMJD8",48.7576666666667,3.16081354434956
"HEK293","normal","WDR24",23.9393333333333,1.55191530308462
"HEK293","normal","FBXL16",0,0
"HEK293","normal","METRN",84.6796666666667,5.4895292500531
"HEK293","normal","CCDC78",0,0
"HEK293","normal","HAGHL",22.3676666666667,1.45002885882212
"HEK293","normal","MAPK8IP3",33.1216666666667,2.1471784802
"HEK293","normal","MIR3177",0,0
"HEK293","normal","NME3",0,0
"HEK293","normal","MRPS34",0,0
"HEK293","normal","EME2",37.2553333333333,2.41515171356144
"HEK293","normal","SPSB3",69.854,4.52842566967918
"HEK293","normal","NUBP2",53.0036666666667,3.43606901137303
"HEK293","normal","IGFALS",72.7216666666667,4.71432791357955
"HEK293","normal","HS3ST6",0,0
"HEK293","normal","MSRB1",38.652,2.50569343179259
"HEK293","normal","RPL3L",30.6753333333333,1.98859001478272
"HEK293","normal","NDUFB10",214.797,13.9246463848896
"HEK293","normal","RPS2",288.244333333333,18.6860170957458
"HEK293","normal","SNORA10",0,0
"HEK293","normal","SNORA64",0,0
"HEK293","normal","SNHG9",0,0
"HEK293","normal","SNORA78",0,0
"HEK293","normal","RNF151",121.303,7.8637102958899
"HEK293","normal","TBL3",30.4806666666667,1.97597035763547
"HEK293","normal","NOXO1",109.252333333333,7.08250165687023
"HEK293","normal","GFER",0,0
"HEK293","normal","SYNGR3",56.5783333333333,3.66780394844006
"HEK293","normal","ZNF598",44.3756666666667,2.87674160452458
"HEK293","normal","NPW",17.7413333333333,1.15011752055718
"HEK293","normal","NTHL1",41.1746666666667,2.66923035865973
"HEK293","normal","TSC2",23.0743333333333,1.49583994298681
"HEK293","normal","ZSCAN10",13.396,0.868422570948296
"HEK293","normal","ZNF213-AS1",50.621,3.28160786533097
"HEK293","normal","ZNF205",65.636,4.25498535882072
"HEK293","normal","ZNF213",36.1476666666667,2.34334500003349
"HEK293","normal","CASP16P",0,0
"HEK293","normal","OR1F1",34.3333333333333,2.22572720234086
"HEK293","normal","OR1F2P",0,0
"HEK293","normal","ZNF200",37.6823333333333,2.44283284507793
"HEK293","normal","SMG1P3",97.3743333333333,6.31248648086815
"HEK293","normal","MIR3680-1",0,0
"HEK293","normal","SLC7A5P2",0,0
"HEK293","normal","ATXN2L",70.995,4.60239328340357
"HEK293","normal","TUFM",0,0
"HEK293","normal","MIR4721",0,0
"HEK293","normal","SH2B1",19.5546666666667,1.26767049124392
