"gene","rloop_density"
"LMBRD2",1.11
"LMCD1",0.95
"LMCD1-AS1",0.81
"LMF1",2.29
"LMF1-AS1",1.72
"LMF2",1.34
"LMLN",0.85
"LMLN-AS1",0.72
"LMNA",2.99
"LMNB1",2
"LMNB2",5.17
"LMNTD1",0.83
"LMNTD2",5.38
"LMO1",0.87
"LMO2",0.89
"LMO3",0.86
"LMO4",1.73
"LMO7",0.94
"LMO7-AS1",1.12
"LMO7DN",0.85
"LMO7DN-IT1",0.91
"LMOD1",0.99
"LMOD2",0.77
"LMOD3",0.76
"LMTK2",1.41
"LMTK3",7.44
"LMX1A",0.83
"LMX1B",1.86
"LNCPRESS2",1.02
"LNP1",0.98
"LNPEP",1.06
"LNPK",0.98
"LNX1",1.05
"LNX1-AS1",1.11
"LNX1-AS2",1.1
"LNX2",1.09
"LOC100049716",1.07
"LOC100101148",3.37
"LOC100126447",0.95
"LOC100126784",1.22
"LOC100128006",0.91
"LOC100128076",1.3
"LOC100128108",0.66
"LOC100128164",0.94
"LOC100128233",0.91
"LOC100128239",1.12
"LOC100128288",0.86
"LOC100128317",0.74
"LOC100128361",3.21
"LOC100128386",1.7
"LOC100128398",1.73
"LOC100128494",7.87
"LOC100128531",1.73
"LOC100128554",0.85
"LOC100128568",2.07
"LOC100128573",11.66
"LOC100128593",1.09
"LOC100128714",0.9
"LOC100128770",31.55
"LOC100128885",0.88
"LOC100128988",0.91
"LOC100128993",0.93
"LOC100129027",0.95
"LOC100129034",6.67
"LOC100129046",1.19
"LOC100129055",0.81
"LOC100129083",1.8
"LOC100129138",1.09
"LOC100129148",2.44
"LOC100129175",1.02
"LOC100129203",0.82
"LOC100129216",0.84
"LOC100129291",0.92
"LOC100129307",0.68
"LOC100129316",0.84
"LOC100129345",0.77
"LOC100129434",1.03
"LOC100129518",2.95
"LOC100129534",1.36
"LOC100129603",0.91
"LOC100129617",2.26
"LOC100129620",0.87
"LOC100129636",0.81
"LOC100129697",8.94
"LOC100129917",2.71
"LOC100129931",2.9
"LOC100129935",0.74
"LOC100129940",0.82
"LOC100130075",0.6
"LOC100130111",1.01
"LOC100130172",1
"LOC100130238",0.88
"LOC100130264",0.81
"LOC100130298",1.01
"LOC100130331",0.8
"LOC100130357",1.5
"LOC100130370",6.88
"LOC100130417",9.95
"LOC100130451",0.86
"LOC100130452",1.09
"LOC100130476",0.83
"LOC100130520",0.86
"LOC100130548",5.4
"LOC100130587",1.03
"LOC100130673",1.08
"LOC100130691",0.87
"LOC100130698",0.85
"LOC100130705",4.15
"LOC100130744",2.39
"LOC100130849",0.88
"LOC100130872",2.79
"LOC100130880",0.8
"LOC100130899",1.09
"LOC100130950",1.4
"LOC100130964",0.89
"LOC100130987",3.72
"LOC100130992",1.25
"LOC100131047",0.76
"LOC100131107",0.96
"LOC100131257",0.79
"LOC100131289",1.1
"LOC100131303",0.86
"LOC100131315",0.64
"LOC100131347",1.36
"LOC100131496",1.4
"LOC100131532",0.74
"LOC100131626",1.49
"LOC100131635",1.06
"LOC100131655",1.38
"LOC100132057",0.82
"LOC100132062",0.7
"LOC100132077",1.1
"LOC100132078",0.97
"LOC100132111",1.28
"LOC100132146",0.86
"LOC100132215",1
"LOC100132249",1.01
"LOC100132356",3.38
"LOC100132686",1.01
"LOC100132735",0.8
"LOC100132781",0.58
"LOC100132813",1.25
"LOC100132831",1.03
"LOC100133050",0.89
"LOC100133077",0.96
"LOC100133091",1.78
"LOC100133286",0.99
"LOC100133315",1.37
"LOC100133331",0.64
"LOC100133669",1.73
"LOC100133920",0.85
"LOC100134317",0.9
"LOC100134368",1.99
"LOC100134391",0.88
"LOC100134868",1.61
"LOC100144595",0.75
"LOC100147773",1.13
"LOC100190940",0.81
"LOC100190986",1.78
"LOC100192426",0.93
"LOC100240728",0.71
"LOC100240734",0.7
"LOC100240735",0.69
"LOC100268168",7.68
"LOC100270746",1.56
"LOC100270804",1.17
"LOC100271832",1.23
"LOC100272217",4.1
"LOC100286922",0.81
"LOC100287010",0.88
"LOC100287015",1.47
"LOC100287036",10.72
"LOC100287042",9.68
"LOC100287072",0.92
"LOC100287497",1.92
"LOC100287632",0.48
"LOC100287704",0.59
"LOC100287728",1.2
"LOC100287792",0.87
"LOC100287846",0.98
"LOC100287896",0.74
"LOC100287944",0.84
"LOC100288069",1.01
"LOC100288123",3.32
"LOC100288152",2.78
"LOC100288162",8.65
"LOC100288181",1.65
"LOC100288208",0.9
"LOC100288254",0.89
"LOC100288570",0.91
"LOC100288637",1.35
"LOC100288748",1.67
"LOC100288778",1.79
"LOC100288798",0.89
"LOC100288842",1.59
"LOC100288846",0.84
"LOC100288866",0.86
"LOC100288911",2.9
"LOC100289230",4.37
"LOC100289333",0.89
"LOC100289361",0.87
"LOC100289473",0.9
"LOC100289495",1.08
"LOC100289511",25.36
"LOC100289561",1.86
"LOC100289580",7.88
"LOC100289656",0.75
"LOC100294145",1.38
"LOC100294362",2.3
"LOC100303749",1.05
"LOC100335030",1.33
"LOC100379224",1.05
"LOC100419170",0.88
"LOC100419583",0.79
"LOC100420587",0.79
"LOC100421746",0.87
"LOC100422212",0.7
"LOC100422556",2.45
"LOC100422737",0.81
"LOC100499194",1.23
"LOC100499484",1.03
"LOC100499484-C9ORF174",1.03
"LOC100499489",1.5
"LOC100500773",0.94
"LOC100505478",0.84
"LOC100505530",0.89
"LOC100505549",1.58
"LOC100505585",2.52
"LOC100505588",0.82
"LOC100505622",1.03
"LOC100505635",0.94
"LOC100505658",1.72
"LOC100505715",0.91
"LOC100505716",1.31
"LOC100505736",1.13
"LOC100505771",6.98
"LOC100505782",0.79
"LOC100505795",1.48
"LOC100505797",0.97
"LOC100505817",0.98
"LOC100505824",0.35
"LOC100505841",0.78
"LOC100505912",0.83
"LOC100505915",1.34
"LOC100505918",0.75
"LOC100505921",1.15
"LOC100505938",1
"LOC100505942",2.48
"LOC100505978",0.73
"LOC100505984",1.8
"LOC100506016",0.86
"LOC100506022",0.97
"LOC100506023",0.83
"LOC100506071",1.14
"LOC100506076",1.02
"LOC100506082",0.91
"LOC100506083",3.56
"LOC100506085",0.88
"LOC100506098",0.86
"LOC100506100",5.71
"LOC100506107",0.79
"LOC100506113",2.2
"LOC100506122",0.76
"LOC100506123",0.91
"LOC100506124",1.21
"LOC100506125",5.78
"LOC100506127",0.99
"LOC100506136",0.79
"LOC100506142",1.19
"LOC100506159",0.86
"LOC100506175",1.01
"LOC100506178",0.94
"LOC100506188",0.99
"LOC100506207",0.85
"LOC100506258",0.9
"LOC100506271",1.56
"LOC100506272",0.91
"LOC100506274",0.77
"LOC100506281",25.15
"LOC100506302",1.58
"LOC100506314",0.99
"LOC100506321",0.9
"LOC100506368",1.17
"LOC100506384",0.84
"LOC100506388",1.13
"LOC100506393",0.83
"LOC100506403",0.82
"LOC100506406",1.21
"LOC100506422",0.85
"LOC100506444",0.9
"LOC100506472",4.45
"LOC100506474",0.78
"LOC100506476",1.34
"LOC100506497",0.81
"LOC100506498",1.3
"LOC100506548",9.57
"LOC100506551",2.47
"LOC100506585",0.74
"LOC100506603",5.41
"LOC100506606",0.96
"LOC100506639",1.87
"LOC100506675",0.84
"LOC100506679",1.14
"LOC100506682",0.75
"LOC100506688",0.78
"LOC100506691",2.14
"LOC100506700",0.82
"LOC100506725",0.84
"LOC100506730",1.89
"LOC100506746",1.6
"LOC100506747",0.89
"LOC100506790",0.85
"LOC100506797",1.43
"LOC100506801",4.66
"LOC100506804",1.55
"LOC100506844",0.97
"LOC100506858",0.94
"LOC100506869",0.82
"LOC100506885",0.92
"LOC100506895",0.72
"LOC100506937",0.62
"LOC100506985",0.96
"LOC100506990",1.02
"LOC100507002",0.97
"LOC100507006",0.78
"LOC100507053",0.9
"LOC100507065",0.8
"LOC100507071",1.47
"LOC100507091",0.93
"LOC100507144",0.72
"LOC100507156",0.97
"LOC100507175",0.74
"LOC100507194",0.78
"LOC100507195",0.75
"LOC100507205",0.82
"LOC100507250",0.9
"LOC100507277",1.02
"LOC100507283",1.01
"LOC100507291",0.96
"LOC100507334",0.91
"LOC100507346",0.99
"LOC100507351",0.9
"LOC100507373",6.09
"LOC100507377",0.74
"LOC100507384",1.02
"LOC100507387",0.84
"LOC100507388",0.86
"LOC100507389",0.79
"LOC100507406",0.84
"LOC100507412",3.82
"LOC100507424",2.22
"LOC100507431",0.91
"LOC100507437",2.7
"LOC100507443",0.79
"LOC100507464",0.84
"LOC100507468",0.77
"LOC100507472",1.85
"LOC100507477",0.81
"LOC100507487",0.86
"LOC100507506",0.87
"LOC100507507",19.49
"LOC100507537",0.65
"LOC100507547",1.49
"LOC100507548",0.89
"LOC100507557",0.97
"LOC100507564",2.68
"LOC100507599",2.38
"LOC100507600",0.72
"LOC100507616",0.84
"LOC100507634",3.45
"LOC100507639",0.85
"LOC100507642",0.81
"LOC100507657",0.78
"LOC100507670",2.81
"LOC100508046",0.64
"LOC100508631",1.27
"LOC100630923",3.31
"LOC100631378",0.88
"LOC100652758",4.87
"LOC100652768",5.23
"LOC100652999",1.33
"LOC100653233",0.76
"LOC100996249",0.8
"LOC100996251",1
"LOC100996255",0.93
"LOC100996263",0.8
"LOC100996286",0.89
"LOC100996325",0.91
"LOC100996335",0.85
"LOC100996349",0.89
"LOC100996351",1.27
"LOC100996385",0.81
"LOC100996415",0.85
"LOC100996419",2.77
"LOC100996437",3.64
"LOC100996447",1.26
"LOC100996455",0.63
"LOC100996583",1.14
"LOC100996634",1.4
"LOC100996635",0.9
"LOC100996654",0.83
"LOC100996664",0.84
"LOC100996671",0.8
"LOC100996679",0.85
"LOC100996693",2.54
"LOC100996694",0.83
"LOC100996724",0.92
"LOC100996842",5.59
"LOC101059915",0.89
"LOC101059948",18.5
"LOC101060091",1.2
"LOC101060391",0.95
"LOC101060498",0.89
"LOC101060553",1.1
"LOC101241902",0.51
"LOC101409256",0.84
"LOC101448202",1.1
"LOC101559451",2.11
"LOC101593348",2.68
"LOC101805491",0.77
"LOC101926889",1.17
"LOC101926892",0.88
"LOC101926897",0.88
"LOC101926898",0.86
"LOC101926905",0.89
"LOC101926908",0.89
"LOC101926911",1.15
"LOC101926913",0.85
"LOC101926915",0.82
"LOC101926933",1.52
"LOC101926934",0.8
"LOC101926935",1.91
"LOC101926941",1.01
"LOC101926942",0.8
"LOC101926943",1.62
"LOC101926944",0.95
"LOC101926948",0.89
"LOC101926951",0.98
"LOC101926960",0.79
"LOC101926962",0.79
"LOC101926963",1.77
"LOC101926964",0.8
"LOC101926968",0.66
"LOC101927000",1.54
"LOC101927018",3.64
"LOC101927020",0.82
"LOC101927021",1.94
"LOC101927023",0.87
"LOC101927027",1.52
"LOC101927038",0.78
"LOC101927040",0.89
"LOC101927043",0.98
"LOC101927045",0.92
"LOC101927048",0.81
"LOC101927050",0.67
"LOC101927051",6
"LOC101927053",1.04
"LOC101927055",0.72
"LOC101927056",1.05
"LOC101927058",0.75
"LOC101927062",0.76
"LOC101927066",0.91
"LOC101927069",0.83
"LOC101927070",0.92
"LOC101927078",0.8
"LOC101927079",0.83
"LOC101927082",0.82
"LOC101927087",0.79
"LOC101927100",1.7
"LOC101927120",0.89
"LOC101927124",1.1
"LOC101927131",0.86
"LOC101927136",0.8
"LOC101927139",0.83
"LOC101927141",0.8
"LOC101927142",1.48
"LOC101927143",1.12
"LOC101927151",1.52
"LOC101927153",0.73
"LOC101927157",0.92
"LOC101927159",0.79
"LOC101927164",1.32
"LOC101927166",0.79
"LOC101927168",1.57
"LOC101927178",1.54
"LOC101927179",1.09
"LOC101927181",2.14
"LOC101927188",0.86
"LOC101927189",0.9
"LOC101927190",0.99
"LOC101927196",0.77
"LOC101927204",1.16
"LOC101927211",0.92
"LOC101927237",1.01
"LOC101927243",0.82
"LOC101927248",3.12
"LOC101927257",1.3
"LOC101927267",1.53
"LOC101927269",0.96
"LOC101927272",0.66
"LOC101927278",1.53
"LOC101927282",0.79
"LOC101927284",0.89
"LOC101927286",0.77
"LOC101927292",0.74
"LOC101927296",1.01
"LOC101927305",0.77
"LOC101927310",0.84
"LOC101927314",0.81
"LOC101927318",0.75
"LOC101927322",2.97
"LOC101927342",0.81
"LOC101927354",1.06
"LOC101927356",0.67
"LOC101927357",1.04
"LOC101927358",0.89
"LOC101927359",0.84
"LOC101927363",0.87
"LOC101927365",2.34
"LOC101927374",0.76
"LOC101927377",1.23
"LOC101927378",0.79
"LOC101927379",0.84
"LOC101927391",1.26
"LOC101927394",0.73
"LOC101927402",1.57
"LOC101927410",0.81
"LOC101927415",1.73
"LOC101927418",0.96
"LOC101927419",1.11
"LOC101927420",8.23
"LOC101927421",0.78
"LOC101927429",0.66
"LOC101927434",0.78
"LOC101927437",0.9
"LOC101927446",0.8
"LOC101927447",0.86
"LOC101927450",0.72
"LOC101927460",0.78
"LOC101927464",1.01
"LOC101927468",0.65
"LOC101927472",2.94
"LOC101927476",0.89
"LOC101927478",1.38
"LOC101927480",0.86
"LOC101927482",0.82
"LOC101927488",0.7
"LOC101927495",0.93
"LOC101927497",0.78
"LOC101927501",0.85
"LOC101927502",1.16
"LOC101927503",2.02
"LOC101927513",0.85
"LOC101927523",0.99
"LOC101927539",3.2
"LOC101927543",0.69
"LOC101927549",0.84
"LOC101927550",2.77
"LOC101927557",1.65
"LOC101927560",0.82
"LOC101927571",0.88
"LOC101927572",3.6
"LOC101927575",0.76
"LOC101927583",1.79
"LOC101927588",0.68
"LOC101927592",0.83
"LOC101927596",0.88
"LOC101927604",1.22
"LOC101927616",0.78
"LOC101927620",1.54
"LOC101927623",0.85
"LOC101927630",0.78
"LOC101927635",0.86
"LOC101927636",0.81
"LOC101927637",0.86
"LOC101927640",0.87
"LOC101927653",0.82
"LOC101927657",0.61
"LOC101927661",0.85
"LOC101927666",3.86
"LOC101927668",0.88
"LOC101927686",0.86
"LOC101927690",0.71
"LOC101927691",0.92
"LOC101927692",1.03
"LOC101927694",0.77
"LOC101927697",0.8
"LOC101927708",0.98
"LOC101927709",0.97
"LOC101927727",0.76
"LOC101927730",0.87
"LOC101927735",0.9
"LOC101927740",0.81
"LOC101927746",2.19
"LOC101927751",1.08
"LOC101927752",3.11
"LOC101927755",0.63
"LOC101927759",2.04
"LOC101927762",1.71
"LOC101927765",1.56
"LOC101927768",0.85
"LOC101927769",0.78
"LOC101927770",1.96
"LOC101927780",1.17
"LOC101927787",0.83
"LOC101927793",5.97
"LOC101927795",1.8
"LOC101927798",1.09
"LOC101927809",4.28
"LOC101927811",1.13
"LOC101927814",1.13
"LOC101927815",0.87
"LOC101927817",2.28
"LOC101927822",0.78
"LOC101927827",0.95
"LOC101927829",0.86
"LOC101927830",1.08
"LOC101927839",1.01
"LOC101927844",0.87
"LOC101927845",0.8
"LOC101927847",0.82
"LOC101927849",0.82
"LOC101927851",2.47
"LOC101927854",0.99
"LOC101927855",1.85
"LOC101927859",0.76
"LOC101927865",0.81
"LOC101927870",0.77
"LOC101927877",0.86
"LOC101927881",0.83
"LOC101927884",0.77
"LOC101927895",2.71
"LOC101927901",0.79
"LOC101927905",3.2
"LOC101927907",0.76
"LOC101927908",0.82
"LOC101927911",1.46
"LOC101927914",1.02
"LOC101927915",0.92
"LOC101927919",1.6
"LOC101927932",1.12
"LOC101927948",1
"LOC101927950",0.9
"LOC101927954",3.63
"LOC101927960",0.83
"LOC101927964",0.78
"LOC101927967",0.87
"LOC101927969",0.86
"LOC101927972",0.9
"LOC101927974",4.98
"LOC101927987",0.73
"LOC101927989",6.08
"LOC101928000",1.2
"LOC101928002",0.87
"LOC101928008",0.97
"LOC101928009",0.83
"LOC101928012",0.75
"LOC101928020",1.17
"LOC101928021",1.13
"LOC101928030",0.83
"LOC101928034",0.93
"LOC101928035",0.7
"LOC101928042",0.92
"LOC101928048",0.75
"LOC101928052",0.74
"LOC101928053",1.66
"LOC101928058",1.2
"LOC101928063",1.35
"LOC101928068",2.62
"LOC101928069",12.58
"LOC101928075",0.87
"LOC101928087",0.86
"LOC101928093",0.97
"LOC101928098",1.15
"LOC101928100",0.82
"LOC101928103",0.83
"LOC101928105",1.49
"LOC101928107",0.91
"LOC101928111",3.48
"LOC101928118",1
"LOC101928120",7.7
"LOC101928123",1.25
"LOC101928126",1.09
"LOC101928128",0.81
"LOC101928131",0.77
"LOC101928132",0.76
"LOC101928134",0.86
"LOC101928135",0.82
"LOC101928137",0.81
"LOC101928140",1.21
"LOC101928143",0.88
"LOC101928150",0.88
"LOC101928160",2.68
"LOC101928161",0.84
"LOC101928162",0.83
"LOC101928163",2.89
"LOC101928166",0.71
"LOC101928168",0.72
"LOC101928174",0.9
"LOC101928177",0.99
"LOC101928185",0.88
"LOC101928191",0.68
"LOC101928195",0.8
"LOC101928201",0.79
"LOC101928211",0.82
"LOC101928222",0.88
"LOC101928226",1.03
"LOC101928227",0.88
"LOC101928231",0.85
"LOC101928238",0.94
"LOC101928251",1.08
"LOC101928253",0.72
"LOC101928254",0.85
"LOC101928266",2.42
"LOC101928269",0.91
"LOC101928272",0.75
"LOC101928273",0.77
"LOC101928279",0.96
"LOC101928280",0.82
"LOC101928283",0.82
"LOC101928295",1.02
"LOC101928298",0.74
"LOC101928303",0.91
"LOC101928304",0.82
"LOC101928306",0.91
"LOC101928307",0.88
"LOC101928314",0.85
"LOC101928322",0.73
"LOC101928323",1.61
"LOC101928324",2.01
"LOC101928333",0.79
"LOC101928335",1.23
"LOC101928336",0.86
"LOC101928358",0.77
"LOC101928370",0.96
"LOC101928371",1.06
"LOC101928372",0.89
"LOC101928381",0.82
"LOC101928386",0.83
"LOC101928389",0.95
"LOC101928398",0.87
"LOC101928401",0.98
"LOC101928402",1.72
"LOC101928403",2.98
"LOC101928404",0.81
"LOC101928414",0.93
"LOC101928416",0.84
"LOC101928417",0.75
"LOC101928418",0.85
"LOC101928424",1.45
"LOC101928429",1.7
"LOC101928433",2.64
"LOC101928436",0.89
"LOC101928437",0.82
"LOC101928438",0.81
"LOC101928441",0.8
"LOC101928443",0.89
"LOC101928445",5.06
"LOC101928446",0.71
"LOC101928449",0.76
"LOC101928453",0.8
"LOC101928461",1.11
"LOC101928464",1.46
"LOC101928471",0.74
"LOC101928475",0.81
"LOC101928489",0.92
"LOC101928491",1.23
"LOC101928495",0.79
"LOC101928504",2.67
"LOC101928505",0.75
"LOC101928509",0.8
"LOC101928510",1.21
"LOC101928516",0.81
"LOC101928517",0.81
"LOC101928519",0.82
"LOC101928523",0.81
"LOC101928525",11.02
"LOC101928530",1.27
"LOC101928535",0.91
"LOC101928539",0.78
"LOC101928540",0.83
"LOC101928551",0.83
"LOC101928557",3.46
"LOC101928565",0.75
"LOC101928580",0.73
"LOC101928583",0.71
"LOC101928590",0.85
"LOC101928591",0.82
"LOC101928595",2.8
"LOC101928596",1.04
"LOC101928597",0.9
"LOC101928605",1.17
"LOC101928617",0.99
"LOC101928618",0.72
"LOC101928622",0.84
"LOC101928626",0.76
"LOC101928627",0.88
"LOC101928650",0.93
"LOC101928651",0.82
"LOC101928659",3.76
"LOC101928661",0.77
"LOC101928663",0.82
"LOC101928673",0.97
"LOC101928674",1.76
"LOC101928682",1.02
"LOC101928696",0.96
"LOC101928697",1.04
"LOC101928700",0.94
"LOC101928708",0.92
"LOC101928718",1.05
"LOC101928725",1.79
"LOC101928728",12.72
"LOC101928730",0.91
"LOC101928731",0.89
"LOC101928737",0.87
"LOC101928739",0.82
"LOC101928748",0.76
"LOC101928767",0.75
"LOC101928769",0.68
"LOC101928775",0.71
"LOC101928782",0.81
"LOC101928786",1.18
"LOC101928791",0.64
"LOC101928796",0.51
"LOC101928797",0.84
"LOC101928804",0.97
"LOC101928807",0.64
"LOC101928809",1.31
"LOC101928812",1.25
"LOC101928820",0.84
"LOC101928823",0.86
"LOC101928834",0.93
"LOC101928837",22.19
"LOC101928841",1.19
"LOC101928844",1.26
"LOC101928847",1.1
"LOC101928851",0.87
"LOC101928855",1.72
"LOC101928858",0.94
"LOC101928861",0.88
"LOC101928865",1.05
"LOC101928881",1.27
"LOC101928882",0.81
"LOC101928885",0.88
"LOC101928887",0.87
"LOC101928894",0.74
"LOC101928896",0.87
"LOC101928902",1.39
"LOC101928907",1.51
"LOC101928909",0.94
"LOC101928911",0.83
"LOC101928917",1.1
"LOC101928924",0.76
"LOC101928932",0.93
"LOC101928936",0.9
"LOC101928937",0.81
"LOC101928940",0.83
"LOC101928942",0.8
"LOC101928943",4.5
"LOC101928944",0.72
"LOC101928961",0.81
"LOC101928977",0.82
"LOC101928978",0.9
"LOC101928985",0.99
"LOC101928988",1.18
"LOC101928994",0.88
"LOC101929002",0.76
"LOC101929006",0.89
"LOC101929011",0.85
"LOC101929019",0.9
"LOC101929054",1.55
"LOC101929057",1.66
"LOC101929058",0.75
"LOC101929064",0.86
"LOC101929066",1.02
"LOC101929073",0.82
"LOC101929076",1.54
"LOC101929080",0.86
"LOC101929084",0.73
"LOC101929089",2.96
"LOC101929095",0.91
"LOC101929099",1.3
"LOC101929106",0.89
"LOC101929109",0.85
"LOC101929116",0.98
"LOC101929117",0.9
"LOC101929122",0.95
"LOC101929123",0.9
"LOC101929124",0.89
"LOC101929128",0.89
"LOC101929130",0.71
"LOC101929134",0.93
"LOC101929140",0.92
"LOC101929147",1.3
"LOC101929151",0.8
"LOC101929154",0.85
"LOC101929159",0.8
"LOC101929161",0.95
"LOC101929162",1.71
"LOC101929163",0.87
"LOC101929165",1.31
"LOC101929172",0.85
"LOC101929188",3.25
"LOC101929199",0.86
"LOC101929208",0.98
"LOC101929210",0.8
"LOC101929217",0.95
"LOC101929224",0.86
"LOC101929227",1.05
"LOC101929229",1.01
"LOC101929231",0.81
"LOC101929234",3.46
"LOC101929237",0.93
"LOC101929241",0.78
"LOC101929243",1.29
"LOC101929259",0.96
"LOC101929268",0.78
"LOC101929269",0.92
"LOC101929279",0.88
"LOC101929282",0.71
"LOC101929284",0.82
"LOC101929294",0.86
"LOC101929295",0.99
"LOC101929297",0.92
"LOC101929315",0.8
"LOC101929319",0.9
"LOC101929331",1.22
"LOC101929340",2.71
"LOC101929341",0.78
"LOC101929352",0.79
"LOC101929353",0.81
"LOC101929371",0.72
"LOC101929372",1.21
"LOC101929380",0.83
"LOC101929384",1.19
"LOC101929411",0.65
"LOC101929412",0.8
"LOC101929413",0.81
"LOC101929415",0.8
"LOC101929420",1.05
"LOC101929427",0.85
"LOC101929431",0.62
"LOC101929439",1.72
"LOC101929441",1.3
"LOC101929445",0.56
"LOC101929448",0.81
"LOC101929452",0.84
"LOC101929457",0.85
"LOC101929460",1.11
"LOC101929464",1.53
"LOC101929470",0.85
"LOC101929473",0.88
"LOC101929488",0.83
"LOC101929497",0.92
"LOC101929504",1.11
"LOC101929512",1.11
"LOC101929516",6.79
"LOC101929517",0.82
"LOC101929523",1.09
"LOC101929524",0.91
"LOC101929526",0.81
"LOC101929528",0.8
"LOC101929529",0.76
"LOC101929532",0.74
"LOC101929536",4.43
"LOC101929538",0.75
"LOC101929541",0.9
"LOC101929544",0.76
"LOC101929549",0.87
"LOC101929550",0.88
"LOC101929551",0.83
"LOC101929552",1.12
"LOC101929555",0.83
"LOC101929563",0.87
"LOC101929570",0.76
"LOC101929572",0.58
"LOC101929574",2.35
"LOC101929577",0.87
"LOC101929579",0.72
"LOC101929583",0.86
"LOC101929584",1.26
"LOC101929586",1.37
"LOC101929592",1.42
"LOC101929595",0.85
"LOC101929596",0.89
"LOC101929613",3.4
"LOC101929621",0.86
"LOC101929622",0.95
"LOC101929626",1.13
"LOC101929633",1.06
"LOC101929634",1.07
"LOC101929645",0.7
"LOC101929646",0.73
"LOC101929653",0.92
"LOC101929657",1.04
"LOC101929662",0.76
"LOC101929679",2.74
"LOC101929680",0.83
"LOC101929698",2.26
"LOC101929705",1.03
"LOC101929709",1.15
"LOC101929710",0.79
"LOC101929715",1.16
"LOC101929718",0.97
"LOC101929719",1.5
"LOC101929721",0.79
"LOC101929726",0.99
"LOC101929741",0.77
"LOC101929748",0.73
"LOC101929753",0.8
"LOC101929762",0.91
"LOC101929767",1.67
"LOC101929798",0.79
"LOC101929882",4.31
"LOC101929897",1.02
"LOC101929901",2.84
"LOC101929926",0.82
"LOC101929935",0.94
"LOC101929998",0.89
"LOC101930010",0.94
"LOC101930071",2.87
"LOC101930085",1.72
"LOC101930094",1.59
"LOC101930114",0.89
"LOC101930370",0.98
"LOC101930452",0.94
"LOC102031319",1.56
"LOC102467080",0.81
"LOC102467081",0.92
"LOC102467214",0.61
"LOC102467216",0.8
"LOC102467217",0.89
"LOC102467222",0.99
"LOC102467223",0.82
"LOC102467225",0.84
"LOC102467226",0.74
"LOC102467655",0.69
"LOC102503427",0.73
"LOC102546229",0.97
"LOC102546294",0.82
"LOC102546299",0.78
"LOC102606465",0.89
"LOC102606466",0.79
"LOC102723322",1.3
"LOC102723330",1.24
"LOC102723335",2.02
"LOC102723344",1.02
"LOC102723345",0.89
"LOC102723354",1.23
"LOC102723360",1.31
"LOC102723373",0.86
"LOC102723376",3.18
"LOC102723385",2.43
"LOC102723427",0.85
"LOC102723439",0.95
"LOC102723471",1.05
"LOC102723481",0.98
"LOC102723493",0.99
"LOC102723517",0.78
"LOC102723526",0.79
"LOC102723544",0.83
"LOC102723557",1.57
"LOC102723566",8.81
"LOC102723582",2.79
"LOC102723604",0.9
"LOC102723640",1.09
"LOC102723649",0.73
"LOC102723661",0.78
"LOC102723665",2.04
"LOC102723672",0.76
"LOC102723692",0.89
"LOC102723701",1.74
"LOC102723703",2.34
"LOC102723704",1.22
"LOC102723709",0.74
"LOC102723727",1
"LOC102723729",1.33
"LOC102723753",0.79
"LOC102723766",1.26
"LOC102723769",0.9
"LOC102723778",0.88
"LOC102723780",0.71
"LOC102723809",1.48
"LOC102723824",0.92
"LOC102723828",0.86
"LOC102723831",0.91
"LOC102723833",0.7
"LOC102723838",0.86
"LOC102723883",0.85
"LOC102723885",1.26
"LOC102723886",0.72
"LOC102723895",0.83
"LOC102723968",0.82
"LOC102724009",4.23
"LOC102724020",0.86
"LOC102724034",4.8
"LOC102724050",1.21
"LOC102724053",0.88
"LOC102724058",0.78
"LOC102724064",12.04
"LOC102724084",0.73
"LOC102724094",2.16
"LOC102724096",0.75
"LOC102724152",1.03
"LOC102724153",0.77
"LOC102724156",0.99
"LOC102724163",1.34
"LOC102724190",1.51
"LOC102724219",1.5
"LOC102724238",3.24
"LOC102724264",1
"LOC102724265",1.02
"LOC102724297",0.8
"LOC102724301",2.35
"LOC102724323",1.23
"LOC102724357",0.79
"LOC102724360",3.85
"LOC102724392",0.74
"LOC102724404",0.91
"LOC102724421",0.74
"LOC102724428",8.57
"LOC102724434",0.75
"LOC102724450",4.68
"LOC102724452",0.77
"LOC102724467",1.57
"LOC102724484",0.93
"LOC102724502",0.81
"LOC102724511",0.97
"LOC102724532",1.61
"LOC102724552",1.82
"LOC102724555",0.72
"LOC102724579",0.86
"LOC102724580",0.86
"LOC102724589",0.79
"LOC102724593",1.2
"LOC102724596",0.98
"LOC102724601",0.84
"LOC102724604",0.75
"LOC102724612",0.81
"LOC102724623",0.82
"LOC102724652",1.22
"LOC102724659",0.96
"LOC102724663",0.76
"LOC102724691",0.84
"LOC102724708",0.93
"LOC102724710",0.77
"LOC102724719",0.74
"LOC102724738",0.54
"LOC102724776",0.86
"LOC102724784",0.96
"LOC102724804",0.84
"LOC102724814",15.78
"LOC102724849",0.85
"LOC102724874",0.77
"LOC102724890",0.8
"LOC102724908",0.76
"LOC102724919",0.8
"LOC102724927",0.98
"LOC102724933",0.75
"LOC102724957",0.86
"LOC102724958",0.68
"LOC102725022",1
"LOC102725072",1.05
"LOC102725080",0.67
"LOC102725126",1.17
"LOC102725191",0.85
"LOC102725254",3.16
"LOC103021295",0.55
