"gene","rloop_density"
"ANAPC13",1.52
"ANAPC15",6.01
"ANAPC16",1.76
"ANAPC1P1",0.93
"ANAPC2",6.07
"ANAPC4",1.36
"ANAPC5",1.84
"ANAPC7",1.85
"ANG",0.96
"ANGEL1",1.74
"ANGEL2",1.21
"ANGPT1",0.72
"ANGPT2",1.01
"ANGPT4",0.91
"ANGPTL1",1.02
"ANGPTL2",1.09
"ANGPTL3",0.75
"ANGPTL4",4.61
"ANGPTL5",0.92
"ANGPTL6",3.33
"ANGPTL7",1.2
"ANGPTL8",7.06
"ANHX",0.79
"ANK1",1.02
"ANK2",0.79
"ANK3",0.94
"ANKAR",1.02
"ANKDD1A",1.46
"ANKDD1B",0.87
"ANKEF1",1.46
"ANKFN1",0.77
"ANKFY1",1.59
"ANKH",1.14
"ANKHD1",1.32
"ANKHD1-EIF4EBP3",1.81
"ANKIB1",1.07
"ANKK1",0.91
"ANKLE1",4.42
"ANKLE2",2.03
"ANKMY1",2.32
"ANKMY2",0.9
"ANKRA2",0.92
"ANKRD1",0.78
"ANKRD10",1.59
"ANKRD11",3.79
"ANKRD12",1.13
"ANKRD13A",1.22
"ANKRD13B",1.5
"ANKRD13C",1.08
"ANKRD13D",10.86
"ANKRD16",1.54
"ANKRD17",1.46
"ANKRD18A",1.49
"ANKRD18B",1.06
"ANKRD18CP",0.87
"ANKRD18DP",0.63
"ANKRD19P",0.97
"ANKRD2",1.33
"ANKRD20A1",0.66
"ANKRD20A11P",0.98
"ANKRD20A19P",0.82
"ANKRD20A2",0.71
"ANKRD20A3",0.71
"ANKRD20A4",0.72
"ANKRD20A5P",0.9
"ANKRD20A8P",0.81
"ANKRD20A9P",0.78
"ANKRD22",0.9
"ANKRD23",8.68
"ANKRD24",1.35
"ANKRD26",0.98
"ANKRD26P1",0.87
"ANKRD26P3",0.78
"ANKRD27",2.03
"ANKRD28",1.19
"ANKRD29",0.96
"ANKRD30A",0.74
"ANKRD30B",0.8
"ANKRD30BL",0.87
"ANKRD30BP2",0.72
"ANKRD30BP3",0.78
"ANKRD31",0.85
"ANKRD33",0.89
"ANKRD33B",0.93
"ANKRD34A",0.86
"ANKRD34B",0.96
"ANKRD34C",0.72
"ANKRD34C-AS1",0.74
"ANKRD35",0.91
"ANKRD36",0.95
"ANKRD36B",1.02
"ANKRD36BP1",0.78
"ANKRD36BP2",0.79
"ANKRD36C",0.94
"ANKRD37",2.66
"ANKRD39",2.87
"ANKRD40",1.63
"ANKRD42",0.89
"ANKRD44",0.9
"ANKRD44-IT1",0.88
"ANKRD45",0.73
"ANKRD46",1.22
"ANKRD49",1.29
"ANKRD50",1.51
"ANKRD52",3.25
"ANKRD53",1.53
"ANKRD54",3.49
"ANKRD55",0.82
"ANKRD6",0.91
"ANKRD60",0.88
"ANKRD61",2.1
"ANKRD62",0.76
"ANKRD62P1-PARP4P3",0.98
"ANKRD63",1.07
"ANKRD65",2.91
"ANKRD66",0.71
"ANKRD7",0.87
"ANKRD9",2.18
"ANKS1A",1.87
"ANKS1B",0.8
"ANKS3",2.87
"ANKS4B",0.94
"ANKS6",1.67
"ANKUB1",0.7
"ANKZF1",3.9
"ANLN",1.65
"ANO1",0.91
"ANO1-AS2",1.11
"ANO10",1.18
"ANO2",0.88
"ANO3",0.82
"ANO4",0.8
"ANO5",0.8
"ANO6",1.11
"ANO7",2.2
"ANO8",7.18
"ANO9",4.69
"ANOS1",0.89
"ANP32A",2.81
"ANP32A-IT1",1.98
"ANP32AP1",0.77
"ANP32B",3.65
"ANP32C",0.5
"ANP32D",0.49
"ANP32E",1.4
"ANPEP",0.84
"ANTXR1",1
"ANTXR2",0.79
"ANTXRL",0.78
"ANTXRLP1",0.79
"ANXA1",0.81
"ANXA10",0.79
"ANXA11",4.33
"ANXA13",0.62
"ANXA2",1.87
"ANXA2P1",0.86
"ANXA2P2",0.92
"ANXA2P3",0.74
"ANXA2R",1.19
"ANXA3",1.17
"ANXA4",1.02
"ANXA5",1.53
"ANXA6",1.3
"ANXA7",1.54
"ANXA8",0.67
"ANXA8L1",0.71
"ANXA9",2.76
"AOAH",0.79
"AOAH-IT1",0.74
"AOC1",0.97
"AOC2",4.88
"AOC3",1.13
"AOC4P",1.16
"AOX1",0.86
"AOX3P-AOX2P",0.84
"AP1AR",1.4
"AP1B1",2.78
"AP1B1P1",0.91
"AP1G1",1.45
"AP1G2",17.62
"AP1M1",2.35
"AP1M2",3.45
"AP1S1",3.14
"AP1S2",1.06
"AP1S3",1.5
"AP2A1",3.64
"AP2A2",2.03
"AP2B1",1.05
"AP2M1",4.09
"AP2S1",5.19
"AP3B1",1.03
"AP3B2",1.12
"AP3D1",3.85
"AP3M1",1.33
"AP3M2",1.62
"AP3S1",1.02
"AP3S2",1.97
"AP4B1",1.72
"AP4B1-AS1",0.88
"AP4E1",0.93
"AP4M1",8.35
"AP4S1",1.11
"AP5B1",5.75
"AP5M1",1.27
"AP5S1",2.63
"AP5Z1",5.21
"APAF1",0.97
"APBA1",0.87
"APBA2",0.93
"APBA3",2.73
"APBB1",1.07
"APBB1IP",0.85
"APBB2",1.43
"APBB3",3.49
"APC",0.93
"APC2",9.13
"APCDD1",1.39
"APCDD1L",0.89
"APCDD1L-AS1",0.82
"APCS",0.67
"APEH",7.65
"APELA",0.82
"APEX1",3.56
"APEX2",4.52
"APH1A",2.56
"APH1B",0.91
"API5",1.72
"APIP",0.98
"APITD1-CORT",1.82
"APLF",0.84
"APLN",0.93
"APLNR",0.91
"APLP1",1.04
"APLP2",1.56
"APMAP",1.53
"APOA1",0.82
"APOA1-AS",1.18
"APOA2",0.97
"APOA4",0.98
"APOA5",1.47
"APOB",0.8
"APOBEC1",1.07
"APOBEC2",1.95
"APOBEC3A",1.03
"APOBEC3A_B",1.34
"APOBEC3B",2.02
"APOBEC3B-AS1",1.15
"APOBEC3C",0.82
"APOBEC3D",0.88
"APOBEC3F",0.99
"APOBEC3G",0.85
"APOBEC3H",1.06
"APOBEC4",0.7
"APOBR",1.61
"APOC1",1.15
"APOC1P1",1.34
"APOC2",0.95
"APOC3",0.94
"APOC4",1.33
"APOC4-APOC2",1.11
"APOD",0.82
"APOE",7.06
"APOF",1.01
"APOH",0.94
"APOL1",0.89
"APOL2",1.56
"APOL3",0.88
"APOL4",0.85
"APOL5",0.93
"APOL6",0.88
"APOLD1",1.26
"APOM",7.82
"APOO",1.05
"APOOL",0.98
"APOOP5",0.6
"APOPT1",1.95
"APP",1.33
"APPBP2",1.6
"APPL1",1.11
"APPL2",2.05
"APRT",59.96
"APTR",1.68
"APTX",1.07
"AQP1",0.87
"AQP10",1.22
"AQP11",2.81
"AQP12A",0.75
"AQP12B",0.77
"AQP2",0.7
"AQP3",2.13
"AQP4",0.72
"AQP4-AS1",0.82
"AQP5",0.95
"AQP6",2.63
"AQP7",1.13
"AQP7P1",1.29
"AQP7P3",1.07
"AQP8",0.93
"AQP9",0.86
"AQR",1.14
"AR",1.15
"ARAF",6.2
"ARAP1",2.94
"ARAP2",1.05
"ARAP3",1.22
"ARC",2.13
"ARCN1",1.49
"AREG",3.41
"AREL1",1.45
"ARF1",5.74
"ARF3",4.62
"ARF4",1.95
"ARF4-AS1",3.59
"ARF5",3.37
"ARF6",2.42
"ARFGAP1",7.33
"ARFGAP2",7.39
"ARFGAP3",2.18
"ARFGEF1",1.17
"ARFGEF2",1.82
"ARFGEF3",1.54
"ARFIP1",1.05
